State Code,District Code,Area Name,Total/ Rural/ Urban,Adolescent and youth categories,Total Population - Persons,Total Population - Males,Total Population - Females,Scheduled Caste - Persons,Scheduled Tribe - Persons,Scheduled Tribe - Males,Illiiterates - Total - Persons,Illiiterates - Total - Males,Illiiterates - Total - Females,Main Worker - Agricultural labourers - Persons
1,11,District - Ganderbal (11),Total,10-14,36979,19495,17484,5,9110,4803,6950,3205,3745,53
1,11,District - Ganderbal (11),Total,15-19,32094,16594,15500,3,6094,3307,5897,2069,3828,296
1,11,District - Ganderbal (11),Total,20-24,27794,14653,13141,11,4674,2525,7623,2430,5193,607
1,11,District - Ganderbal (11),Total,Adolescent (10-19),69073,36089,32984,8,15204,8110,12847,5274,7573,349
1,11,District - Ganderbal (11),Total,Youth (15-24),59888,31247,28641,14,10768,5832,13520,4499,9021,903
1,11,District - Ganderbal (11),Rural,All Ages,250407,133715,116692,85,60275,32104,132927,58831,74096,5010
1,11,District - Ganderbal (11),Rural,10-14,31437,16549,14888,5,8990,4738,6325,2905,3420,51
1,11,District - Ganderbal (11),Rural,15-19,27331,14164,13167,3,5985,3246,5404,1913,3491,276
1,11,District - Ganderbal (11),Rural,20-24,23449,12529,10920,9,4589,2476,6819,2204,4615,552
1,11,District - Ganderbal (11),Rural,Adolescent (10-19),58768,30713,28055,8,14975,7984,11729,4818,6911,327
1,11,District - Ganderbal (11),Rural,Youth (15-24),50780,26693,24087,12,10574,5722,12223,4117,8106,828
1,11,District - Ganderbal (11),Urban,All Ages,47039,25005,22034,32,795,450,21243,9308,11935,529
1,11,District - Ganderbal (11),Urban,10-14,5542,2946,2596,0,120,65,625,300,325,2
1,11,District - Ganderbal (11),Urban,15-19,4763,2430,2333,0,109,61,493,156,337,20
1,11,District - Ganderbal (11),Urban,20-24,4345,2124,2221,2,85,49,804,226,578,55
1,11,District - Ganderbal (11),Urban,Adolescent (10-19),10305,5376,4929,0,229,126,1118,456,662,22
1,11,District - Ganderbal (11),Urban,Youth (15-24),9108,4554,4554,2,194,110,1297,382,915,75
1,12,District - Pulwama (12),Total,All Ages,560440,293064,267376,402,22607,11837,266482,114738,151744,6992
1,12,District - Pulwama (12),Total,10-14,55643,28869,26774,2,2962,1525,6455,2910,3545,64
1,12,District - Pulwama (12),Total,15-19,55325,27359,27966,0,1949,989,5940,1999,3941,306
1,12,District - Pulwama (12),Total,20-24,54308,27160,27148,46,1584,810,10112,3013,7099,734
1,12,District - Pulwama (12),Total,Adolescent (10-19),110968,56228,54740,2,4911,2514,12395,4909,7486,370
1,12,District - Pulwama (12),Total,Youth (15-24),109633,54519,55114,46,3533,1799,16052,5012,11040,1040
1,12,District - Pulwama (12),Rural,All Ages,479978,248096,231882,52,22189,11528,234799,100867,133932,6532
1,12,District - Pulwama (12),Rural,10-14,48838,25312,23526,1,2931,1513,5802,2629,3173,63
1,12,District - Pulwama (12),Rural,15-19,48586,23962,24624,0,1936,983,5352,1744,3608,286
1,12,District - Pulwama (12),Rural,20-24,46617,22936,23681,6,1539,770,9155,2642,6513,687
